Existence of initiatives and projects in the past five years to improve the tourism sector - exists,Existence of cafes - does not exist,Tourism Index,Existence of touristic attractions that can be expolited and developed - does not exist,Existence of touristic attractions prone to be exploited and developed - exists,Total number of hotels,Town,Total number of cafes,Observation URI,Existence of hotels - does not exist,Existence of restaurants - does not exist,Existence of cafes - exists,references,Existence of hotels - exists,refArea,Total number of guest houses,Total number of restaurants,publisher,dataset,Existence of guest houses - exists,Existence of guest houses - does not exist,Existence of restaurants - exists
0,0,4,1,0,0,Aabrine,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabrine,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Batroun_District,2,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,0,3,1,0,0,Aachach,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aachach,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,0,0,0,Aachqout,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aachqout,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Keserwan_District,0,10,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,1
0,0,3,1,0,0,Aadaysseh Marjaayoun,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadaysseh+Marjaayoun,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Aadchit Ech-Chqif,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadchit+Ech-Chqif,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,Aadchit El-Qoussair,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadchit+El-Qoussair,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,0,0,0,Aadloun,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadloun,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Aadoussiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadoussiyeh,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,10,1,0,1,Aafsdiq,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aafsdiq,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,https://dbpedia.org/page/North_Governorate,1,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,0,1,0,0,Aain Aanoub,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Aanoub,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
1,1,0,0,1,0,Aain Aarab Rachaya,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Aarab+Rachaya,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Aain Aata,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Aata,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Aain Dara,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Dara,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
1,0,6,1,0,0,Aain Drafil,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Drafil,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Aain Ed-Delb,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ed-Delb,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aain Ed-Delbe,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ed-Delbe,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Aain Ej-Jdideh Aaley,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ej-Jdideh+Aaley,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,6,1,0,2,Aain El Saydeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El+Saydeh,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Aley_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Aain El-Ghouaybeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El-Ghouaybeh,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,6,-1,1,0,Aain El-Kharroubeh,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El-Kharroubeh,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Aain El-Qabu,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El-Qabu,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Aain Er-Rihane,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Er-Rihane,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Keserwan_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,9,0,1,1,Aain Er-Roummaneh Aaley,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Er-Roummaneh+Aaley,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Aley_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
1,0,9,0,1,2,Aain Es-Sindiane,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Es-Sindiane,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Matn_District,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Aain Et-Teffaha,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Et-Teffaha,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Aain Et-Tineh-Miniyeh,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Et-Tineh-Miniyeh,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Aain Ez-Zeit,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ez-Zeit,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,1,Aain Ez-Zeitouneh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ez-Zeitouneh,0,1,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aain Fraidis,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Fraidis,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aain Harsha,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Harsha,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
1,0,10,0,1,1,Aain Ibl,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ibl,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Bint_Jbeil_District,4,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,3,1,0,0,Aain Jarfa,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Jarfa,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Hasbaya_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Aain Jrain,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Jrain,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aain Kfaa,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Kfaa,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Aain Kfar Zabad,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Kfar+Zabad,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/ZahlÃ©_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Aain Ksour,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ksour,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aain Mouaffaq,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Mouaffaq,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Aain Ouzain,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ouzain,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Aain Qana,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Qana,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,Aain Qania,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Qania,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aain Qinia,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Qinia,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Hasbaya_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,1,0,0,Aain Saadeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Saadeh,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,3,1,0,0,Aain Tinta,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Tinta,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,0,1,0,Aain Traz,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Traz,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,0,1,0,Aain Yaaqoub,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Yaaqoub,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,10,0,1,2,Aain Zebdeh,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Zebdeh,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Western_Beqaa_District,1,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,10,0,1,2,Aain Zhalta,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Zhalta,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,3,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,0,1,0,0,Aain challal,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+challal,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Aainbal,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aainbal,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,3,1,0,0,Aaita Ej-Jabal,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaita+Ej-Jabal,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Aaiyat,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaiyat,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Aajaltoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aajaltoun,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Keserwan_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,7,0,1,0,Aakkar El-Aatiqa,20,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aakkar+El-Aatiqa,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,4,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,9,0,1,5,Aaley,20,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaley,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Aley_District,0,20,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Aaley Bsatine,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaley+Bsatine,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
1,0,6,1,0,0,Aali En-Nahri,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aali+En-Nahri,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/ZahlÃ©_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Aalma,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalma,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,6,0,1,1,Aalma Ech-Chaab,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalma+Ech-Chaab,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Tyre_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Aalman,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalman,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Aalmane Ech-Chouf,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalmane+Ech-Chouf,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,6,1,0,0,Aamaret El-Baykat,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aamaret+El-Baykat,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Aamayer,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aamayer,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,10,0,1,1,Aamchit,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aamchit,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Byblos_District,4,15,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,3,0,1,0,Aammatour,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aammatour,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
